cleanedV	Freq
60m	3
60s	1
60th	1
61	4
610	3
611	4
6125	1
613	1
615	1
616	3
61st	2
62	3
620000	1
629	1
63	3
630	5
63000000	1
630am	1
630pm	1
6329	1
635	4
635m	4
63k	1
63m	1
63rd	5
64	6
643	1
645	1
645m	1
64b	1
64k	1
64story	1
65	7
650	1
650000	2
65story	2
65t	1
66	5
666th	1
67	6
6700000	1
68	3
68story	1
69	2
6am	1
6amp	1
6gallon	3
6m	2
6pm	15
6t	10
6th	6
6th10th	1
7	79
70	19
700	78
70000	1
700000	2
700am	3
700b	1
700m	1
700pm	3
702	2
705	2
70b	1
70m	2
70s	2
71	3
710a	1
715	3
716	1
72	12
720	2
7205yard	1
721	1
7242	1
7242015	1
7242yard	1
725	2
727	1
728	1
7291	3
73	1
730	42
730am	1
730pm	7
7326	1
735	2
735amet	1
738	1
739	1
73o	1
74	3
740	2
7400	4
740pmet	1
744	1
7450	1
747	3
747spay	1
75	7
750	5
75000	1
750000	2
7531	1
7533692a	1
7540	1
7546980	1
757	9
75x	1
76	1
762	1
762mm	1
765	1
766000	1
7693	1
77	5
770	1
770m	1
78	7
7800	1
787	4
79	3
790k	1
79352	1
79m	1
7am	5
7amet	1
7b	3
7k	1
7ºº	1
7p	1
7pm	38
7pme	6
7qsgg	1
7th	6
7yr	1
8	80
80	9
800	49
8000	2
80000	1
800000	3
800acre	1
800b	1
800pm	2
800pme	1
80k	1
80s	3
81	3
81000	1
810pm	2
82	3
8227	1
823	2
8254	1
82800	1
83	4
830	10
830pm	2
830pme	1
831b	1
8332000	1
84	6
840	1
845	1
845am	2
85	2
855	1
858233	1
85b	1
8646551trumps	1
86barrel	1
87	3
8712	1
874	1
87barrel	1
87c	6
88	1
88000	1
88419000	1
88921000	1
88th	1
89	1
894520	1
8am	2
8ame	1
8b	3
8h	1
8pm	24
8pm11pm	1
8pme	4
8th	15
8thbecause	1
8year	1
9	127
90	13
900	33
900am	1
900billion	1
900pm	1
90595800	2
90barrel	1
90m	1
90s	1
90t	1
91	4
910	4
910000	1
911	34
91112	1
9112001️️	1
911not	1
911obamas	1
911pm	1
912	2
91301	1
9132001	1
91401	1
915	3
9177568000	1
91801	1
92	7
92112	1
92m	1
92yearold	2
93	4
93015	1
930p	1
930pm	2
934	1
94	1
94000	1
945pm	1
94barrel	1
94th	1
95	2
9500	1
951957	1
95th	2
96	3
967	1
96k	1
97	5
98	10
98c	9
98m	1
99	5
9916	1
992	1
99th	1
9am	1
9ame	1
9b	1
9p	1
9pm	34
9pm11pm	1
9pme	1
9pmyou	1
9q2fk	1
9th	14
9trillion	1
9yo	2
a	8786
a1a	1
aaa	11
aamp	1
aaron	2
ab	1
abandon	6
abandoned	13
abbas	1
abbott	1
abbottabad	1
abc	30
abccbs	1
abcs	1
abcwashington	2
abd	1
abdeslam	1
abdullah	1
abe	9
abedin	3
abedini	5
abedinis	2
abel	1
aberdeen	51
aberdeensales	1
aberdeenshire	10
aberdeenshires	1
aberdonian	1
abhor	1
abide	1
ability	29
abilityzilch	1
abingdon	1
abject	1
able	81
ablebodied	1
abnormally	1
aboard	6
abolish	6
abolished	1
abortion	2
about	1174
abouti	1
aboutthe	1
above	23
abraham	14
abridged	1
abroad	5
abruptly	1
absence	1
absentee	3
absolute	24
absolutely	108
absolutley	1
absorb	2
absorbed	1
absurd	1
abt	5
abu	3
abundant	1
abuse	10
abused	5
abuser	1
abusers	2
abuses	1
abusive	3
abysmal	2
abysmalno	1
abysmalwe	1
ac	12
ac360	1
academic	2
academics	2
academy	11
acandle	1
accelerated	1
accentuate	1
accept	26
acceptable	2
acceptance	4
accepted	14
accepting	3
accepts	2
access	21
accessible	2
accessories	1
accessory	1
accident	3
accidental	1
accidentally	2
accidents	1
acclaim	2
acclaimed	4
accolade	1
accolades	6
accommodating	1
accommodation	1
accommodations	5
accompanied	1
accomplish	19
accomplished	15
accomplishes	1
accomplishment	8
accomplishments	11
accord	1
according	34
accordingly	2
account	19
accountability	5
accountable	7
accounting	2
accounts	6
accrued	2
accruing	2
acct	2
accumulate	1
accumulated	3
accumulating	1
accumulation	1
accuracy	2
accurate	9
accurateif	1
accurately	5
accused	3
accuser	2
accusers	1
ace	1
aches	1
acheson	1
achieve	17
achieved	3
achievement	21
achievements	6
achiever	1
achievers	22
achieves	1
achieving	3
acidwash	1
acin	1
acing	1
acknowledge	5
acknowledged	1
acknowledgement	1
acknowledging	6
acn	3
acquire	5
acquiring	3
acquisition	11
acquitted	1
acre	3
acres	21
acrobatics	1
across	47
act	69
acted	10
acti	1
acting	13
action	75
actionit	1
actions	12
activation	1
active	5
actively	1
activist	2
activists	2
activities	5
activity	3
actor	7
actori	1
actors	1
actress	1
actresses	1
acts	6
actsbetter	1
actual	9
actually	111
acu	3
acumen	2
ad	71
adam	14
adamhes	1
adams	3
adapt	3
adaptable	1
add	15
added	19
addicted	6
addicting	1
addiction	2
adding	7
addition	20
additional	10
additionally	3
additionno	1
address	34
addressed	4
addresses	2
addressing	8
adds	3
adelehappy	1
adelson	2
adios	1
adjacent	2
adjunct	1
adjust	2
adjusted	1
adkins	1
adl	1
adm	1
admin	6
administered	1
administration	73
administrationa	1
administrations	2
administrationtrue	1
adminstration	1
admirable	3
admiral	1
admirals	1
admiration	2
admire	31
admired	5
admirer	5
admission	1
admit	33
admited	1
admits	9
admitted	19
admitting	9
admonished	1
ado	1
adopt	1
adopting	1
adorable	5
adore	9
adores	3
adrian	4
ads	71
adsdesperate	1
adsthe	1
adult	2
adults	7
adultscollege	1
adv	1
advanage	1
advance	10
advanced	3
advancing	3
advantage	25
advantageous	1
advantages	1
advantagesee	3
advantagesmart	1
advantagewarren	1
adventure	3
adversaries	2
adverse	2
adversity	3
advertisedthanks	1
advertisement	1
advertisements	1
advertisers	4
advertising	16
advice	80
advicegreat	2
advicehe	1
advicethey	1
advise	2
advised	5
adviser	9
advisers	3
advisor	8
advisors	7
advisory	1
advocate	3
advocated	1
advocating	2
aeis	1
aerial	1
aerosmith	1
aesop	1
aesthetic	2
aesthetically	1
aesthetics	1
aetna	1
affair	1
affairs	7
affect	1
affected	7
affecting	2
affection	2
affects	1
affiliate	2
afford	20
